variables=x1, x2, respond
-1.95 0.3 1180.75
-1.95 0.35 1166.18
-1.95 0.4 1151.85
-1.95 0.45 1137.77
-1.95 0.5 1123.95
-1.95 0.55 1110.37
-1.95 0.6 1097.04
-1.95 0.65 1083.96
-1.95 0.7 1071.13
-1.95 0.75 1058.55
-1.95 0.8 1046.22
-1.95 0.85 1034.14
-1.95 0.9 1022.31
-1.95 0.95 1010.73
-1.95 1 999.394
-1.95 1.05 988.31
-1.95 1.1 977.476
-1.95 1.15 966.892
-1.95 1.2 956.557
-1.95 1.25 946.471
-1.95 1.3 936.634
-1.95 1.35 927.047
-1.95 1.4 917.71
-1.95 1.45 908.622
-1.95 1.5 899.783
-1.95 1.55 891.194
-1.95 1.6 882.854
-1.95 1.65 874.764
-1.95 1.7 866.923
-1.95 1.75 859.331
-1.95 1.8 851.989
-1.95 1.85 844.897
-1.95 1.9 838.053
-1.95 1.95 831.46
-1.95 2 825.115
-1.9 -2 2052.7
-1.9 -1.95 2026.7
-1.9 -1.9 2000.95
-1.9 -1.85 1975.45
-1.9 -1.8 1950.2
-1.9 -1.75 1925.2
-1.9 -1.7 1900.45
-1.9 -1.65 1875.94
-1.9 -1.6 1851.69
-1.9 -1.55 1827.69
-1.9 -1.5 1803.93
-1.9 -1.45 1780.43
-1.9 -1.4 1757.17
-1.9 -1.35 1734.17
-1.9 -1.3 1711.41
-1.9 -1.25 1688.91
-1.9 -1.2 1666.65
-1.9 -1.15 1644.64
-1.9 -1.1 1622.88
-1.9 -1.05 1601.37
-1.9 -1 1580.11
-1.9 -0.95 1559.1
-1.9 -0.9 1538.34
-1.9 -0.85 1517.83
-1.9 -0.8 1497.57
-1.9 -0.75 1477.56
-1.9 -0.7 1457.79
-1.9 -0.65 1438.28
-1.9 -0.6 1419.02
-1.9 -0.55 1400
-1.9 -0.5 1381.24
-1.9 -0.45 1362.72
-1.9 -0.4 1344.45
-1.9 -0.35 1326.44
-1.9 -0.3 1308.67
-1.9 -0.25 1291.15
-1.9 -0.2 1273.88
-1.9 -0.15 1256.86
-1.9 -0.1 1240.09
-1.9 -0.05 1223.57
-1.9 1.20737e-15 1207.3
-1.9 0.05 1191.28
-1.9 0.1 1175.51
-1.9 0.15 1159.98
-1.9 0.2 1144.71
-1.9 0.25 1129.68
-1.9 0.3 1114.91
-1.9 0.35 1100.39
-1.9 0.4 1086.11
-1.9 0.45 1072.08
-1.9 0.5 1058.31
-1.9 0.55 1044.78
-1.9 0.6 1031.5
-1.9 0.65 1018.47
-1.9 0.7 1005.69
-1.9 0.75 993.163
-1.9 0.8 980.883
-1.9 0.85 968.852
-1.9 0.9 957.071
-1.9 0.95 945.539
-1.9 1 934.256
-1.9 1.05 923.223
-1.9 1.1 912.439
-1.9 1.15 901.905
-1.9 1.2 891.62
-1.9 1.25 881.584
-1.9 1.3 871.798
-1.9 1.35 862.262
-1.9 1.4 852.975
-1.9 1.45 843.937
-1.9 1.5 835.148
-1.9 1.55 826.61
-1.9 1.6 818.32
-1.9 1.65 810.28
-1.9 1.7 802.489
-1.9 1.75 794.948
-1.9 1.8 787.656
-1.9 1.85 780.614
-1.9 1.9 773.821
-1.9 1.95 767.278
-1.9 2 760.984
-1.85 -2 1986.19
-1.85 -1.95 1960.24
-1.85 -1.9 1934.55
-1.85 -1.85 1909.1
-1.85 -1.8 1883.9
-1.85 -1.75 1858.94
-1.85 -1.7 1834.24
-1.85 -1.65 1809.79
-1.85 -1.6 1785.59
-1.85 -1.55 1761.64
-1.85 -1.5 1737.93
-1.85 -1.45 1714.48
-1.85 -1.4 1691.27
-1.85 -1.35 1668.32
-1.85 -1.3 1645.61
-1.85 -1.25 1623.16
-1.85 -1.2 1600.95
-1.85 -1.15 1578.99
-1.85 -1.1 1557.28
-1.85 -1.05 1535.82
-1.85 -1 1514.61
-1.85 -0.95 1493.65
-1.85 -0.9 1472.94
-1.85 -0.85 1452.48
-1.85 -0.8 1432.27
-1.85 -0.75 1412.31
-1.85 -0.7 1392.6
-1.85 -0.65 1373.13
-1.85 -0.6 1353.92
-1.85 -0.55 1334.95
-1.85 -0.5 1316.24
-1.85 -0.45 1297.77
-1.85 -0.4 1279.56
-1.85 -0.35 1261.59
-1.85 -0.3 1243.87
-1.85 -0.25 1226.41
-1.85 -0.2 1209.19
-1.85 -0.15 1192.22
-1.85 -0.1 1175.5
-1.85 -0.05 1159.03
-1.85 1.20737e-15 1142.81
-1.85 0.05 1126.84
-1.85 0.1 1111.11
-1.85 0.15 1095.64
-1.85 0.2 1080.42
-1.85 0.25 1065.44
-1.85 0.3 1050.72
-1.85 0.35 1036.24
-1.85 0.4 1022.02
-1.85 0.45 1008.04
-1.85 0.5 994.317
-1.85 0.55 980.84
-1.85 0.6 967.612
-1.85 0.65 954.634
-1.85 0.7 941.905
-1.85 0.75 929.425
-1.85 0.8 917.195
-1.85 0.85 905.215
-1.85 0.9 893.484
-1.85 0.95 882.002
-1.85 1 870.77
-1.85 1.05 859.787
-1.85 1.1 849.053
-1.85 1.15 838.569
-1.85 1.2 828.335
-1.85 1.25 818.349
-1.85 1.3 808.614
-1.85 1.35 799.127
-1.85 1.4 789.891
-1.85 1.45 780.903
-1.85 1.5 772.165
-1.85 1.55 763.676
-1.85 1.6 755.437
-1.85 1.65 747.448
-1.85 1.7 739.707
-1.85 1.75 732.216
-1.85 1.8 724.975
-1.85 1.85 717.983
-1.85 1.9 711.24
-1.85 1.95 704.747
-1.85 2 698.503
-1.8 -2 1921.34
-1.8 -1.95 1895.44
-1.8 -1.9 1869.79
-1.8 -1.85 1844.39
-1.8 -1.8 1819.24
-1.8 -1.75 1794.34
-1.8 -1.7 1769.69
-1.8 -1.65 1745.29
-1.8 -1.6 1721.14
-1.8 -1.55 1697.24
-1.8 -1.5 1673.58
-1.8 -1.45 1650.18
-1.8 -1.4 1627.02
-1.8 -1.35 1604.12
-1.8 -1.3 1581.46
-1.8 -1.25 1559.06
-1.8 -1.2 1536.9
-1.8 -1.15 1514.99
-1.8 -1.1 1493.33
-1.8 -1.05 1471.93
-1.8 -1 1450.77
-1.8 -0.95 1429.86
-1.8 -0.9 1409.2
-1.8 -0.85 1388.79
-1.8 -0.8 1368.62
-1.8 -0.75 1348.71
-1.8 -0.7 1329.05
-1.8 -0.65 1309.64
-1.8 -0.6 1290.47
-1.8 -0.55 1271.56
-1.8 -0.5 1252.89
-1.8 -0.45 1234.48
-1.8 -0.4 1216.31
-1.8 -0.35 1198.4
-1.8 -0.3 1180.73
-1.8 -0.25 1163.31
-1.8 -0.2 1146.14
-1.8 -0.15 1129.23
-1.8 -0.1 1112.56
-1.8 -0.05 1096.14
-1.8 1.20737e-15 1079.97
-1.8 0.05 1064.04
-1.8 0.1 1048.37
-1.8 0.15 1032.95
-1.8 0.2 1017.78
-1.8 0.25 1002.85
-1.8 0.3 988.18
-1.8 0.35 973.756
-1.8 0.4 959.58
-1.8 0.45 945.655
-1.8 0.5 931.979
-1.8 0.55 918.552
-1.8 0.6 905.374
-1.8 0.65 892.446
-1.8 0.7 879.768
-1.8 0.75 867.339
-1.8 0.8 855.159
-1.8 0.85 843.229
-1.8 0.9 831.548
-1.8 0.95 820.116
-1.8 1 808.934
-1.8 1.05 798.002
-1.8 1.1 787.319
-1.8 1.15 776.885
-1.8 1.2 766.701
-1.8 1.25 756.766
-1.8 1.3 747.081
-1.8 1.35 737.645
-1.8 1.4 728.458
-1.8 1.45 719.521
-1.8 1.5 710.833
-1.8 1.55 702.395
-1.8 1.6 694.206
-1.8 1.65 686.267
-1.8 1.7 678.577
-1.8 1.75 671.136
-1.8 1.8 663.945
-1.8 1.85 657.003
-1.8 1.9 650.311
-1.8 1.95 643.868
-1.8 2 637.675
-1.75 -2 1858.14
-1.75 -1.95 1832.29
-1.75 -1.9 1806.69
-1.75 -1.85 1781.34
-1.75 -1.8 1756.24
-1.75 -1.75 1731.39
-1.75 -1.7 1706.79
-1.75 -1.65 1682.44
-1.75 -1.6 1658.34
-1.75 -1.55 1634.49
-1.75 -1.5 1610.88
-1.75 -1.45 1587.53
-1.75 -1.4 1564.42
-1.75 -1.35 1541.57
-1.75 -1.3 1518.96
-1.75 -1.25 1496.61
-1.75 -1.2 1474.5
-1.75 -1.15 1452.65
-1.75 -1.1 1431.04
-1.75 -1.05 1409.68
-1.75 -1 1388.57
-1.75 -0.95 1367.71
-1.75 -0.9 1347.1
-1.75 -0.85 1326.74
-1.75 -0.8 1306.63
-1.75 -0.75 1286.77
-1.75 -0.7 1267.16
-1.75 -0.65 1247.79
-1.75 -0.6 1228.68
-1.75 -0.55 1209.82
-1.75 -0.5 1191.2
-1.75 -0.45 1172.84
-1.75 -0.4 1154.72
-1.75 -0.35 1136.85
-1.75 -0.3 1119.24
-1.75 -0.25 1101.87
-1.75 -0.2 1084.75
-1.75 -0.15 1067.88
-1.75 -0.1 1051.27
-1.75 -0.05 1034.9
-1.75 1.20737e-15 1018.78
-1.75 0.05 1002.9
-1.75 0.1 987.283
-1.75 0.15 971.911
-1.75 0.2 956.789
-1.75 0.25 941.916
-1.75 0.3 927.292
-1.75 0.35 912.918
-1.75 0.4 898.793
-1.75 0.45 884.918
-1.75 0.5 871.292
-1.75 0.55 857.915
-1.75 0.6 844.788
-1.75 0.65 831.911
-1.75 0.7 819.282
-1.75 0.75 806.903
-1.75 0.8 794.774
-1.75 0.85 782.894
-1.75 0.9 771.264
-1.75 0.95 759.883
-1.75 1 748.751
-1.75 1.05 737.869
-1.75 1.1 727.236
-1.75 1.15 716.852
-1.75 1.2 706.718
-1.75 1.25 696.834
-1.75 1.3 687.199
-1.75 1.35 677.813
-1.75 1.4 668.677
-1.75 1.45 659.79
-1.75 1.5 651.153
-1.75 1.55 642.765
-1.75 1.6 634.626
-1.75 1.65 626.737
-1.75 1.7 619.097
-1.75 1.75 611.707
-1.75 1.8 604.566
-1.75 1.85 597.675
-1.75 1.9 591.033
-1.75 1.95 584.64
-1.75 2 578.497
-1.7 -2 1796.59
-1.7 -1.95 1770.79
-1.7 -1.9 1745.24
-1.7 -1.85 1719.94
-1.7 -1.8 1694.89
-1.7 -1.75 1670.09
-1.7 -1.7 1645.54
-1.7 -1.65 1621.24
-1.7 -1.6 1597.19
-1.7 -1.55 1573.39
-1.7 -1.5 1549.83
-1.7 -1.45 1526.53
-1.7 -1.4 1503.48
-1.7 -1.35 1480.67
-1.7 -1.3 1458.12
-1.7 -1.25 1435.81
-1.7 -1.2 1413.76
-1.7 -1.15 1391.95
-1.7 -1.1 1370.39
-1.7 -1.05 1349.08
-1.7 -1 1328.03
-1.7 -0.95 1307.22
-1.7 -0.9 1286.66
-1.7 -0.85 1266.35
-1.7 -0.8 1246.29
-1.7 -0.75 1226.48
-1.7 -0.7 1206.91
-1.7 -0.65 1187.6
-1.7 -0.6 1168.54
-1.7 -0.55 1149.72
-1.7 -0.5 1131.16
-1.7 -0.45 1112.85
-1.7 -0.4 1094.78
-1.7 -0.35 1076.96
-1.7 -0.3 1059.4
-1.7 -0.25 1042.08
-1.7 -0.2 1025.01
-1.7 -0.15 1008.19
-1.7 -0.1 991.626
-1.7 -0.05 975.307
-1.7 1.20737e-15 959.237
-1.7 0.05 943.416
-1.7 0.1 927.845
-1.7 0.15 912.524
-1.7 0.2 897.452
-1.7 0.25 882.629
-1.7 0.3 868.056
-1.7 0.35 853.732
-1.7 0.4 839.657
-1.7 0.45 825.832
-1.7 0.5 812.256
-1.7 0.55 798.93
-1.7 0.6 785.854
-1.7 0.65 773.026
-1.7 0.7 760.448
-1.7 0.75 748.12
-1.7 0.8 736.041
-1.7 0.85 724.211
-1.7 0.9 712.631
-1.7 0.95 701.3
-1.7 1 690.219
-1.7 1.05 679.387
-1.7 1.1 668.804
-1.7 1.15 658.471
-1.7 1.2 648.388
-1.7 1.25 638.553
-1.7 1.3 628.969
-1.7 1.35 619.633
-1.7 1.4 610.547
-1.7 1.45 601.711
-1.7 1.5 593.124
-1.7 1.55 584.786
-1.7 1.6 576.698
-1.7 1.65 568.859
-1.7 1.7 561.27
-1.7 1.75 553.93
-1.7 1.8 546.839
-1.7 1.85 539.998
-1.7 1.9 533.406
-1.7 1.95 527.064
-1.7 2 520.971
-1.65 -2 1736.69
-1.65 -1.95 1710.94
-1.65 -1.9 1685.44
-1.65 -1.85 1660.19
-1.65 -1.8 1635.19
-1.65 -1.75 1610.44
-1.65 -1.7 1585.94
-1.65 -1.65 1561.69
-1.65 -1.6 1537.69
-1.65 -1.55 1513.94
-1.65 -1.5 1490.44
-1.65 -1.45 1467.19
-1.65 -1.4 1444.18
-1.65 -1.35 1421.43
-1.65 -1.3 1398.92
-1.65 -1.25 1376.67
-1.65 -1.2 1354.66
-1.65 -1.15 1332.91
-1.65 -1.1 1311.4
-1.65 -1.05 1290.14
-1.65 -1 1269.13
-1.65 -0.95 1248.37
-1.65 -0.9 1227.86
-1.65 -0.85 1207.6
-1.65 -0.8 1187.59
-1.65 -0.75 1167.83
-1.65 -0.7 1148.32
-1.65 -0.65 1129.06
-1.65 -0.6 1110.05
-1.65 -0.55 1091.28
-1.65 -0.5 1072.77
-1.65 -0.45 1054.51
-1.65 -0.4 1036.49
-1.65 -0.35 1018.73
-1.65 -0.3 1001.21
-1.65 -0.25 983.942
-1.65 -0.2 966.925
-1.65 -0.15 950.157
-1.65 -0.1 933.639
-1.65 -0.05 917.37
-1.65 1.20737e-15 901.35
-1.65 0.05 885.58
-1.65 0.1 870.059
-1.65 0.15 854.788
-1.65 0.2 839.766
-1.65 0.25 824.993
-1.65 0.3 810.47
-1.65 0.35 796.197
-1.65 0.4 782.173
-1.65 0.45 768.398
-1.65 0.5 754.873
-1.65 0.55 741.597
-1.65 0.6 728.57
-1.65 0.65 715.793
-1.65 0.7 703.266
-1.65 0.75 690.987
-1.65 0.8 678.959
-1.65 0.85 667.179
-1.65 0.9 655.649
-1.65 0.95 644.369
-1.65 1 633.338
-1.65 1.05 622.556
-1.65 1.1 612.024
-1.65 1.15 601.741
-1.65 1.2 591.708
-1.65 1.25 581.924
-1.65 1.3 572.39
-1.65 1.35 563.105
-1.65 1.4 554.069
-1.65 1.45 545.283
-1.65 1.5 536.746
-1.65 1.55 528.459
-1.65 1.6 520.421
-1.65 1.65 512.632
-1.65 1.7 505.093
-1.65 1.75 497.804
-1.65 1.8 490.763
-1.65 1.85 483.973
-1.65 1.9 477.431
-1.65 1.95 471.139
-1.65 2 465.097
-1.6 -2 1678.44
-1.6 -1.95 1652.74
-1.6 -1.9 1627.29
-1.6 -1.85 1602.1
-1.6 -1.8 1577.15
-1.6 -1.75 1552.45
-1.6 -1.7 1528
-1.6 -1.65 1503.8
-1.6 -1.6 1479.85
-1.6 -1.55 1456.15
-1.6 -1.5 1432.69
-1.6 -1.45 1409.49
-1.6 -1.4 1386.54
-1.6 -1.35 1363.83
-1.6 -1.3 1341.38
-1.6 -1.25 1319.17
-1.6 -1.2 1297.22
-1.6 -1.15 1275.51
-1.6 -1.1 1254.06
-1.6 -1.05 1232.85
-1.6 -1 1211.89
-1.6 -0.95 1191.18
-1.6 -0.9 1170.72
-1.6 -0.85 1150.51
-1.6 -0.8 1130.55
-1.6 -0.75 1110.84
-1.6 -0.7 1091.38
-1.6 -0.65 1072.17
-1.6 -0.6 1053.21
-1.6 -0.55 1034.49
-1.6 -0.5 1016.03
-1.6 -0.45 997.817
-1.6 -0.4 979.853
-1.6 -0.35 962.137
-1.6 -0.3 944.671
-1.6 -0.25 927.455
-1.6 -0.2 910.488
-1.6 -0.15 893.771
-1.6 -0.1 877.302
-1.6 -0.05 861.084
-1.6 1.20737e-15 845.114
-1.6 0.05 829.395
-1.6 0.1 813.924
-1.6 0.15 798.703
-1.6 0.2 783.732
-1.6 0.25 769.009
-1.6 0.3 754.537
-1.6 0.35 740.313
-1.6 0.4 726.34
-1.6 0.45 712.615
-1.6 0.5 699.14
-1.6 0.55 685.915
-1.6 0.6 672.938
-1.6 0.65 660.212
-1.6 0.7 647.734
-1.6 0.75 635.507
-1.6 0.8 623.528
-1.6 0.85 611.799
-1.6 0.9 600.32
-1.6 0.95 589.089
-1.6 1 578.109
-1.6 1.05 567.377
-1.6 1.1 556.896
-1.6 1.15 546.663
-1.6 1.2 536.68
-1.6 1.25 526.946
-1.6 1.3 517.462
-1.6 1.35 508.228
-1.6 1.4 499.242
-1.6 1.45 490.506
-1.6 1.5 482.02
-1.6 1.55 473.783
-1.6 1.6 465.795
-1.6 1.65 458.057
-1.6 1.7 450.568
-1.6 1.75 443.329
-1.6 1.8 436.339
-1.6 1.85 429.599
-1.6 1.9 423.108
-1.6 1.95 416.866
-1.6 2 410.874
-1.55 -2 1621.84
-1.55 -1.95 1596.2
-1.55 -1.9 1570.8
-1.55 -1.85 1545.65
-1.55 -1.8 1520.75
-1.55 -1.75 1496.1
-1.55 -1.7 1471.7
-1.55 -1.65 1447.55
-1.55 -1.6 1423.65
-1.55 -1.55 1400
-1.55 -1.5 1376.6
-1.55 -1.45 1353.45
-1.55 -1.4 1330.54
-1.55 -1.35 1307.89
-1.55 -1.3 1285.49
-1.55 -1.25 1263.33
-1.55 -1.2 1241.43
-1.55 -1.15 1219.77
-1.55 -1.1 1198.37
-1.55 -1.05 1177.21
-1.55 -1 1156.3
-1.55 -0.95 1135.64
-1.55 -0.9 1115.23
-1.55 -0.85 1095.07
-1.55 -0.8 1075.16
-1.55 -0.75 1055.5
-1.55 -0.7 1036.09
-1.55 -0.65 1016.93
-1.55 -0.6 998.02
-1.55 -0.55 979.357
-1.55 -0.5 960.944
-1.55 -0.45 942.78
-1.55 -0.4 924.866
-1.55 -0.35 907.201
-1.55 -0.3 889.785
-1.55 -0.25 872.619
-1.55 -0.2 855.703
-1.55 -0.15 839.035
-1.55 -0.1 822.618
-1.55 -0.05 806.449
-1.55 1.20737e-15 790.53
-1.55 0.05 774.861
-1.55 0.1 759.441
-1.55 0.15 744.27
-1.55 0.2 729.349
-1.55 0.25 714.677
-1.55 0.3 700.255
-1.55 0.35 686.082
-1.55 0.4 672.158
-1.55 0.45 658.484
-1.55 0.5 645.059
-1.55 0.55 631.884
-1.55 0.6 618.958
-1.55 0.65 606.282
-1.55 0.7 593.855
-1.55 0.75 581.677
-1.55 0.8 569.749
-1.55 0.85 558.07
-1.55 0.9 546.641
-1.55 0.95 535.461
-1.55 1 524.531
-1.55 1.05 513.85
-1.55 1.1 503.418
-1.55 1.15 493.236
-1.55 1.2 483.303
-1.55 1.25 473.62
-1.55 1.3 464.186
-1.55 1.35 455.002
-1.55 1.4 446.067
-1.55 1.45 437.381
-1.55 1.5 428.945
-1.55 1.55 420.758
-1.55 1.6 412.821
-1.55 1.65 405.133
-1.55 1.7 397.695
-1.55 1.75 390.506
-1.55 1.8 383.566
-1.55 1.85 376.876
-1.55 1.9 370.435
-1.55 1.95 364.244
-1.55 2 358.302
-1.5 -2 1566.9
-1.5 -1.95 1541.3
-1.5 -1.9 1515.95
-1.5 -1.85 1490.86
-1.5 -1.8 1466.01
-1.5 -1.75 1441.41
-1.5 -1.7 1417.06
-1.5 -1.65 1392.96
-1.5 -1.6 1369.11
-1.5 -1.55 1345.51
-1.5 -1.5 1322.16
-1.5 -1.45 1299.06
-1.5 -1.4 1276.2
-1.5 -1.35 1253.6
-1.5 -1.3 1231.25
-1.5 -1.25 1209.14
-1.5 -1.2 1187.29
-1.5 -1.15 1165.68
-1.5 -1.1 1144.33
-1.5 -1.05 1123.22
-1.5 -1 1102.36
-1.5 -0.95 1081.75
-1.5 -0.9 1061.4
-1.5 -0.85 1041.29
-1.5 -0.8 1021.43
-1.5 -0.75 1001.82
-1.5 -0.7 982.456
-1.5 -0.65 963.345
-1.5 -0.6 944.484
-1.5 -0.55 925.871
-1.5 -0.5 907.508
-1.5 -0.45 889.395
-1.5 -0.4 871.531
-1.5 -0.35 853.916
-1.5 -0.3 836.551
-1.5 -0.25 819.435
-1.5 -0.2 802.569
-1.5 -0.15 785.952
-1.5 -0.1 769.584
-1.5 -0.05 753.466
-1.5 1.20737e-15 737.598
-1.5 0.05 721.978
-1.5 0.1 706.609
-1.5 0.15 691.488
-1.5 0.2 676.617
-1.5 0.25 661.996
-1.5 0.3 647.624
-1.5 0.35 633.501
-1.5 0.4 619.628
-1.5 0.45 606.004
-1.5 0.5 592.63
-1.5 0.55 579.505
-1.5 0.6 566.629
-1.5 0.65 554.003
-1.5 0.7 541.626
-1.5 0.75 529.499
-1.5 0.8 517.621
-1.5 0.85 505.993
-1.5 0.9 494.614
-1.5 0.95 483.485
-1.5 1 472.604
-1.5 1.05 461.974
-1.5 1.1 451.592
-1.5 1.15 441.461
-1.5 1.2 431.578
-1.5 1.25 421.945
-1.5 1.3 412.562
-1.5 1.35 403.428
-1.5 1.4 394.543
-1.5 1.45 385.908
-1.5 1.5 377.522
-1.5 1.55 369.385
-1.5 1.6 361.498
-1.5 1.65 353.861
-1.5 1.7 346.473
-1.5 1.75 339.334
-1.5 1.8 332.445
-1.5 1.85 325.805
-1.5 1.9 319.415
-1.5 1.95 313.274
-1.5 2 307.382
-1.45 -2 1513.6
-1.45 -1.95 1488.06
-1.45 -1.9 1462.76
-1.45 -1.85 1437.71
-1.45 -1.8 1412.92
-1.45 -1.75 1388.37
-1.45 -1.7 1364.07
-1.45 -1.65 1340.02
-1.45 -1.6 1316.22
-1.45 -1.55 1292.67
-1.45 -1.5 1269.37
-1.45 -1.45 1246.32
-1.45 -1.4 1223.51
-1.45 -1.35 1200.96
-1.45 -1.3 1178.66
-1.45 -1.25 1156.6
-1.45 -1.2 1134.8
-1.45 -1.15 1113.24
-1.45 -1.1 1091.94
-1.45 -1.05 1070.88
-1.45 -1 1050.07
-1.45 -0.95 1029.52
-1.45 -0.9 1009.21
-1.45 -0.85 989.15
-1.45 -0.8 969.341
-1.45 -0.75 949.781
-1.45 -0.7 930.471
-1.45 -0.65 911.41
-1.45 -0.6 892.599
-1.45 -0.55 874.037
-1.45 -0.5 855.724
-1.45 -0.45 837.661
-1.45 -0.4 819.847
-1.45 -0.35 802.283
-1.45 -0.3 784.968
-1.45 -0.25 767.902
-1.45 -0.2 751.086
-1.45 -0.15 734.52
-1.45 -0.1 718.202
-1.45 -0.05 702.135
-1.45 1.20737e-15 686.316
-1.45 0.05 670.747
-1.45 0.1 655.428
-1.45 0.15 640.358
-1.45 0.2 625.537
-1.45 0.25 610.966
-1.45 0.3 596.644
-1.45 0.35 582.572
-1.45 0.4 568.749
-1.45 0.45 555.176
-1.45 0.5 541.852
-1.45 0.55 528.777
-1.45 0.6 515.952
-1.45 0.65 503.376
-1.45 0.7 491.05
-1.45 0.75 478.973
-1.45 0.8 467.145
-1.45 0.85 455.567
-1.45 0.9 444.238
-1.45 0.95 433.159
-1.45 1 422.329
-1.45 1.05 411.749
-1.45 1.1 401.418
-1.45 1.15 391.337
-1.45 1.2 381.505
-1.45 1.25 371.922
-1.45 1.3 362.589
-1.45 1.35 353.505
-1.45 1.4 344.67
-1.45 1.45 336.086
-1.45 1.5 327.75
-1.45 1.55 319.664
-1.45 1.6 311.827
-1.45 1.65 304.24
-1.45 1.7 296.902
-1.45 1.75 289.814
-1.45 1.8 282.975
-1.45 1.85 276.385
-1.45 1.9 270.045
-1.45 1.95 263.955
-1.45 2 258.113
-1.4 -2 1461.96
-1.4 -1.95 1436.46
-1.4 -1.9 1411.22
-1.4 -1.85 1386.22
-1.4 -1.8 1361.47
-1.4 -1.75 1336.98
-1.4 -1.7 1312.73
-1.4 -1.65 1288.73
-1.4 -1.6 1264.98
-1.4 -1.55 1241.48
-1.4 -1.5 1218.23
-1.4 -1.45 1195.23
-1.4 -1.4 1172.47
-1.4 -1.35 1149.97
-1.4 -1.3 1127.72
-1.4 -1.25 1105.72
-1.4 -1.2 1083.96
-1.4 -1.15 1062.46
-1.4 -1.1 1041.2
-1.4 -1.05 1020.19
-1.4 -1 999.438
-1.4 -0.95 978.931
-1.4 -0.9 958.673
-1.4 -0.85 938.665
-1.4 -0.8 918.906
-1.4 -0.75 899.397
-1.4 -0.7 880.137
-1.4 -0.65 861.126
-1.4 -0.6 842.365
-1.4 -0.55 823.853
-1.4 -0.5 805.591
-1.4 -0.45 787.578
-1.4 -0.4 769.815
-1.4 -0.35 752.301
-1.4 -0.3 735.036
-1.4 -0.25 718.021
-1.4 -0.2 701.255
-1.4 -0.15 684.739
-1.4 -0.1 668.472
-1.4 -0.05 652.455
